Freq, Amp, Phase, Sig
1.646308+/-0.000006,18.05+/-0.21,0.3877+/-0.0019,7.610509533641629
0.811625+/-0.000007,10.84+/-0.15,0.1204+/-0.0022,4.032146231710617
0.631776+/-0.000010,6.77+/-0.12,0.4829+/-0.0028,2.9640994941541288
0.133734+/-0.000012,4.63+/-0.11,0.368+/-0.004,2.606974603693928
1.106762+/-0.000013,4.09+/-0.10,0.130+/-0.004,2.6439461456165736
0.710172+/-0.000013,3.98+/-0.09,0.285+/-0.004,2.616958268650555
0.285913+/-0.000012,4.01+/-0.09,0.0186+/-0.0034,3.104958291057549
0.391978+/-0.000015,2.92+/-0.08,0.291+/-0.004,2.4725173402250142
0.876186+/-0.000014,2.90+/-0.08,0.458+/-0.004,2.53657934307578
0.442705+/-0.000015,2.55+/-0.07,0.463+/-0.004,2.948935979394961
1.212826+/-0.000015,2.43+/-0.07,0.240+/-0.004,2.473758028548558
2.462544+/-0.000015,2.30+/-0.07,0.415+/-0.004,4.259441145215894
3.292616+/-0.000015,2.29+/-0.06,0.487+/-0.004,6.34602446843497
1.360394+/-0.000016,2.02+/-0.06,0.390+/-0.005,2.3059872227944
1.019143+/-0.000017,1.76+/-0.06,0.270+/-0.005,2.181806781615383
1.512574+/-0.000017,1.70+/-0.05,0.932+/-0.005,2.5340208187110562
1.268164+/-0.000018,1.60+/-0.05,0.422+/-0.005,2.463648121711596
1.743149+/-0.000019,1.45+/-0.05,0.764+/-0.006,2.4949816513766483
1.554078+/-0.000019,1.43+/-0.05,0.236+/-0.006,2.892393312569272
