#Settings
,Signal to Noise Ratio,Window size,Lower frequency bound,Upper frequency bound,Skip similar frequency regions,Chancel run after 10 similar frequencies,Ignore unsignificant frequencies number
0,2.0,1.0,,,False,True,0


#Statistics
,Duty cycle,Nyquist frequency,Total number of found frequencies
0,0.945750146369211,359.9712022993053,19


#Result
f_nr,frequency,amp,phase,snr,res_noise,significant
0,1.645315+/-0.000007,17.47+/-0.21,1.8590+/-0.0019,7.610509533641629,0.05671305505339324,True
1,0.811687+/-0.000010,11.61+/-0.21,0.0196+/-0.0029,4.032146231710617,-0.07551850978777842,True
2,0.632044+/-0.000018,6.21+/-0.21,0.065+/-0.005,2.9640994941541288,-0.0861445531138946,True
3,0.133958+/-0.000024,4.79+/-0.21,0.015+/-0.007,2.606974603693928,-0.27710006393668696,True
4,1.106716+/-0.000026,4.36+/-0.21,0.174+/-0.008,2.6439461456165736,-0.29820674039880307,True
5,0.710260+/-0.000028,4.08+/-0.21,0.118+/-0.008,2.616958268650555,-0.41283195235816306,True
6,0.285924+/-0.000029,3.88+/-0.21,0.001+/-0.009,3.104958291057549,-0.3764479997866665,True
7,0.39182+/-0.00004,3.03+/-0.21,0.524+/-0.011,2.4725173402250142,-0.4300531722752746,True
8,0.876430+/-0.000033,3.49+/-0.21,0.111+/-0.010,2.53657934307578,-0.412789918742123,True
9,0.44215+/-0.00005,2.51+/-0.21,1.289+/-0.013,2.948935979394961,-0.3466847476190581,True
10,1.21289+/-0.00004,3.05+/-0.21,0.163+/-0.011,2.473758028548558,-0.46465639007325477,True
11,2.46271+/-0.00005,2.35+/-0.21,0.173+/-0.014,4.259441145215894,-0.47370593021117696,True
12,3.29280+/-0.00005,2.31+/-0.21,0.220+/-0.015,6.34602446843497,-0.48379377725069955,True
13,1.36057+/-0.00005,2.19+/-0.21,0.109+/-0.015,2.3059872227944,-0.5048502735246312,True
14,1.01927+/-0.00006,1.93+/-0.21,0.099+/-0.017,2.181806781615383,-0.5067815273227596,True
15,1.51267+/-0.00007,1.59+/-0.21,0.805+/-0.021,2.5340208187110562,-0.49698733937638,True
16,1.26829+/-0.00006,1.86+/-0.21,0.252+/-0.018,2.463648121711596,-0.4859548003478132,True
17,1.74299+/-0.00007,1.59+/-0.21,1.013+/-0.021,2.4949816513766483,-0.49375823094139376,True
18,1.55408+/-0.00008,1.50+/-0.21,0.236+/-0.022,2.892393312569272,-0.5010268960843576,True


